,architecture,variance,psnr,psnr std,ssim,ssim std,second,loss,num classes,num repeat,degree,factor,polynomial,polynomial degree
5135,splines,25.0,26.025854,0.9440128,0.6637535,0.06932662,True,H1,5.0,1.0,5.0,3.1622776601683795,True,5.0
5136,splines,25.0,-10.047629,0.5052189,0.0011900137,0.00058691105,True,H1,5.0,1.0,5.0,3.1622776601683795,False,-1.0
5137,splines,25.0,26.75965,1.2825644,0.70979804,0.052162953,True,H1,5.0,1.0,5.0,1.0,True,1.0
5138,splines,25.0,-1.8758527,0.2635754,0.0008132638,0.002103431,True,H1,5.0,1.0,5.0,1.0,True,2.0
5139,splines,25.0,14.9373255,1.6773479,0.3623802,0.06259711,True,H1,5.0,1.0,5.0,1.0,True,3.0
5140,splines,25.0,25.244904,1.9825894,0.6997282,0.0825525,True,H1,5.0,1.0,5.0,1.0,True,4.0
5141,splines,25.0,-1.5906653,5.4058847,0.057828445,0.061795272,True,H1,5.0,1.0,5.0,1.0,True,5.0
5142,splines,25.0,20.083616,1.5434731,0.46439698,0.0831881,True,H1,5.0,1.0,5.0,1.0,False,-1.0
5143,splines,25.0,-3.1688654,0.58779985,-0.0003005884,0.0025693076,True,H1,5.0,1.0,5.0,0.3162277660168379,True,1.0
5144,splines,25.0,6.5433307,0.38357624,0.010221891,0.004163912,True,H1,5.0,1.0,5.0,0.3162277660168379,True,2.0
5145,splines,25.0,26.98186,1.3044727,0.736449,0.0419177,True,H1,5.0,1.0,5.0,0.3162277660168379,True,3.0
5146,splines,25.0,12.964638,5.884039,0.38310197,0.1971131,True,H1,5.0,1.0,5.0,0.3162277660168379,True,4.0
5147,splines,25.0,19.843971,0.6155591,0.3830571,0.091760285,True,H1,5.0,1.0,5.0,0.3162277660168379,True,5.0
5148,splines,25.0,18.55588,0.65743214,0.19284767,0.047928248,True,H1,5.0,1.0,5.0,0.3162277660168379,False,-1.0
5149,splines,25.0,26.792046,1.3673222,0.7184095,0.057424255,False,H1,5.0,1.0,-1.0,-1.0,-1,-1.0
5150,splines,25.0,25.062063,1.17925,0.59990066,0.089922376,True,H1,20.0,1.0,1.0,10.0,True,1.0
5151,splines,25.0,26.524303,1.4427499,0.7063883,0.06255986,True,H1,20.0,1.0,1.0,10.0,True,2.0
5152,splines,25.0,27.12172,1.2360764,0.73121107,0.045020815,True,H1,20.0,1.0,1.0,10.0,True,3.0
5153,splines,25.0,26.727144,1.3466532,0.71499676,0.054791167,True,H1,20.0,1.0,1.0,10.0,True,4.0
5154,splines,25.0,26.771708,1.3215661,0.71597975,0.057017162,True,H1,20.0,1.0,1.0,10.0,True,5.0
5155,splines,25.0,26.727242,1.3615936,0.71238464,0.053303476,True,H1,20.0,1.0,1.0,10.0,False,-1.0
5156,splines,25.0,26.477358,1.7411371,0.7420523,0.045795757,True,H1,20.0,1.0,1.0,3.1622776601683795,True,1.0
5157,splines,25.0,26.689804,1.3872677,0.7166342,0.052605037,True,H1,20.0,1.0,1.0,3.1622776601683795,True,2.0
5158,splines,25.0,26.59657,1.3436625,0.7039151,0.061701447,True,H1,20.0,1.0,1.0,3.1622776601683795,True,3.0
5159,splines,25.0,26.603199,1.376174,0.7080571,0.054325785,True,H1,20.0,1.0,1.0,3.1622776601683795,True,4.0
5160,splines,25.0,24.64726,2.0335839,0.71712536,0.06376731,True,H1,20.0,1.0,1.0,3.1622776601683795,True,5.0
5161,splines,25.0,26.614622,1.313779,0.7111828,0.057963688,True,H1,20.0,1.0,1.0,3.1622776601683795,False,-1.0
5162,splines,25.0,27.021603,1.3703538,0.7278522,0.04860515,True,H1,20.0,1.0,1.0,1.0,True,1.0
5163,splines,25.0,26.788357,1.3233914,0.71506464,0.05493277,True,H1,20.0,1.0,1.0,1.0,True,2.0
5164,splines,25.0,26.800209,1.3847343,0.73194915,0.056613013,True,H1,20.0,1.0,1.0,1.0,True,3.0
5165,splines,25.0,26.884134,1.3277304,0.7300676,0.043188434,True,H1,20.0,1.0,1.0,1.0,True,4.0
5166,splines,25.0,26.342882,1.5123256,0.7020216,0.06454686,True,H1,20.0,1.0,1.0,1.0,True,5.0
5167,splines,25.0,24.447191,2.2004843,0.7147281,0.057104144,True,H1,20.0,1.0,1.0,1.0,False,-1.0
5168,splines,25.0,26.811863,1.345126,0.7183073,0.053949412,True,H1,20.0,1.0,1.0,0.3162277660168379,True,1.0
5169,splines,25.0,26.839088,1.2482485,0.7118466,0.05259645,True,H1,20.0,1.0,1.0,0.3162277660168379,True,2.0
5170,splines,25.0,26.906404,1.3343707,0.72416323,0.045356173,True,H1,20.0,1.0,1.0,0.3162277660168379,True,3.0
5171,splines,25.0,26.884249,1.4490297,0.7270568,0.042608283,True,H1,20.0,1.0,1.0,0.3162277660168379,True,4.0
5172,splines,25.0,26.51834,1.3414584,0.6986819,0.059526786,True,H1,20.0,1.0,1.0,0.3162277660168379,True,5.0
5173,splines,25.0,24.508482,2.1684926,0.67761195,0.08404984,True,H1,20.0,1.0,1.0,0.3162277660168379,False,-1.0
5174,splines,25.0,26.635233,1.6243805,0.7232924,0.055062167,True,H1,20.0,1.0,2.0,10.0,True,1.0
5175,splines,25.0,25.628191,1.4721019,0.64340925,0.0894614,True,H1,20.0,1.0,2.0,10.0,True,2.0
5176,splines,25.0,26.686785,1.2545847,0.70242965,0.059504326,True,H1,20.0,1.0,2.0,10.0,True,3.0
5177,splines,25.0,26.85964,1.358364,0.72558105,0.04244389,True,H1,20.0,1.0,2.0,10.0,True,4.0
5178,splines,25.0,26.879444,1.2587382,0.7128096,0.051463567,True,H1,20.0,1.0,2.0,10.0,True,5.0
5179,splines,25.0,26.473656,1.5233754,0.7230175,0.052468322,True,H1,20.0,1.0,2.0,10.0,False,-1.0
5180,splines,25.0,25.80041,1.8265967,0.67297536,0.095851935,True,H1,20.0,1.0,2.0,3.1622776601683795,True,1.0
5181,splines,25.0,25.30295,2.2549152,0.70051116,0.09009588,True,H1,20.0,1.0,2.0,3.1622776601683795,True,2.0
5182,splines,25.0,26.014755,1.9638981,0.7322712,0.049292676,True,H1,20.0,1.0,2.0,3.1622776601683795,True,3.0
5183,splines,25.0,26.664104,1.2453449,0.71313,0.051897947,True,H1,20.0,1.0,2.0,3.1622776601683795,True,4.0
5184,splines,25.0,26.144781,1.6992767,0.6972222,0.07152146,True,H1,20.0,1.0,2.0,3.1622776601683795,True,5.0
5185,splines,25.0,26.462059,1.1344204,0.6791222,0.07415257,True,H1,20.0,1.0,2.0,3.1622776601683795,False,-1.0
5186,splines,25.0,26.860788,1.3015028,0.71816224,0.050350685,True,H1,20.0,1.0,2.0,1.0,True,1.0
5187,splines,25.0,26.986395,1.2189194,0.7217225,0.045775235,True,H1,20.0,1.0,2.0,1.0,True,2.0
5188,splines,25.0,19.330456,0.84713477,0.3744058,0.08837654,True,H1,20.0,1.0,2.0,1.0,True,3.0
5189,splines,25.0,26.018824,1.3286833,0.6694002,0.068998665,True,H1,20.0,1.0,2.0,1.0,True,4.0
5190,splines,25.0,26.724802,1.3358127,0.7091524,0.057604007,True,H1,20.0,1.0,2.0,1.0,True,5.0
5191,splines,25.0,26.959177,1.2684091,0.72199285,0.050846152,True,H1,20.0,1.0,2.0,1.0,False,-1.0
5192,splines,25.0,26.839727,1.3353388,0.71987414,0.048443943,True,H1,20.0,1.0,2.0,0.3162277660168379,True,1.0
